¿Tienes fama y dinero ilimitados pero cada vez que alguien te elogia te desmallas durante 30 segundos. ¿Lo aceptas?,You get unlimited fame and money but every time someone compliments you you pass out for 30 seconds. Do you take the deal?
Puedes comer lo que quieras sin engordar pero solo puedes comer parado encima de la mesa. ¿Lo aceptas?,You can eat anything without gaining weight but you can only eat while standing on top of the table. Do you take it?
Puedes leer la mente de cualquier persona pero tus propios pensamientos se escuchan en voz alta todo el tiempo. ¿Lo aceptas?,You can read anyone's mind but your own thoughts are always spoken out loud. Do you take the deal?
Tienes Wi-Fi perfecta y gratuita en cualquier lugar del mundo pero cada vez que te conectas suenas a un módem de los 90 durante 10 segundos. ¿Lo aceptas?,You get perfect free Wi-Fi anywhere in the world but every time you connect you make dial-up modem sounds for 10 seconds. Deal?
Puedes teletransportarte a cualquier lugar instantáneamente pero siempre llegas hablando con la voz de Shrek. ¿Lo aceptas?,You can teleport anywhere instantly but you always arrive speaking in Shrek's voice. Deal or no deal?
Nunca más tendrás que trabajar en tu vida pero cada mañana tienes que cantar el himno nacional completo antes de levantarte. ¿Lo aceptas?,You never have to work again for the rest of your life but every morning you must sing your full national anthem before getting out of bed. Do you take it?
Hablas todos los idiomas del mundo con fluidez pero solo puedes hablar en forma de rap. ¿Trato hecho?,You are fluent in every language on earth but you can only speak in rap. Deal?
Tienes memoria perfecta y nunca olvidas nada — pero tampoco puedes olvidar nada. Cada vergüenza cada dolor cada desilusión para siempre. ¿Lo aceptas?,You have perfect memory and never forget anything — but you also can't forget anything. Every embarrassment every heartbreak every minor pain crystal clear forever. Still want it?
Puedes detener el tiempo cuando quieras pero cada vez que lo haces envejeces un día. ¿Lo aceptas?,You can freeze time whenever you want but every time you do it you age one day. Do you take the deal?
"Ganas la lotería — 50 millones — pero a partir de ese momento tu cara aparece automáticamente en todos los memes de internet. ¿Lo aceptas?","You win the lottery — $50 million — but from that moment on your face automatically appears in every internet meme. Do you take it?"
Puedes volar pero solo tan rápido como caminas y todo el mundo puede verte flotando. ¿Vale la pena?,You can fly but only as fast as you walk and everyone can see you floating around. Is it still worth it?
Nunca más sentirás celos pero tampoco podrás sentir orgullo de nada que hagas. ¿Lo aceptas?,You never feel jealous again but you also can't feel proud of anything you accomplish. Do you take the deal?
Tienes la popularidad de una celebridad en tu ciudad pero cada vez que entras a un lugar suena música de entrada de lucha libre a todo volumen. ¿Lo aceptas?,You have celebrity-level popularity in your city but every time you walk into any room wrestling entrance music plays loudly. Deal?
Puedes ver exactamente lo que pasará con 24 horas de anticipación pero nadie te creerá jamás. ¿Lo aceptas?,You can see exactly what will happen 24 hours in advance but no one will ever believe you. Do you take it?
Nunca más te enfermarás pero cada vez que alguien a tu lado estornuda tienes que aplaudir. ¿Lo aceptas?,You never get sick again but every time someone near you sneezes you must clap. Do you take the deal?
Solo necesitas 2 horas de sueño por noche y despiertas completamente descansado pero siempre con una canción aleatoria pegada en la cabeza todo el día. ¿Lo aceptas?,You only need 2 hours of sleep a night and wake up fully rested but you always wake up with a random song stuck in your head that you can't shake all day. Deal?
